Datetime,Load,CR,WR,NER,ER,NR
5/9/2024 10:00,7432.913038,3493.469128,1486.582608,1114.936956,743.2913038,594.633043
5/9/2024 11:00,7590.526867,3567.547627,1518.105373,1138.57903,759.0526867,607.2421493
5/9/2024 12:00,7618.311653,3580.606477,1523.662331,1142.746748,761.8311653,609.4649323
5/9/2024 13:00,7550.192019,3548.590249,1510.038404,1132.528803,755.0192019,604.0153615
5/9/2024 14:00,7617.269184,3580.116516,1523.453837,1142.590378,761.7269184,609.3815347
5/9/2024 15:00,7675.424181,3607.449365,1535.084836,1151.313627,767.5424181,614.0339345
5/9/2024 16:00,7688.986444,3613.823629,1537.797289,1153.347967,768.8986444,615.1189155
5/9/2024 17:00,7766.933656,3650.458818,1553.386731,1165.040048,776.6933656,621.3546924
5/9/2024 18:00,7745.484393,3640.377665,1549.096879,1161.822659,774.5484393,619.6387514
5/9/2024 19:00,7576.052696,3560.744767,1515.210539,1136.407904,757.6052696,606.0842157
5/9/2024 20:00,7560.182734,3553.285885,1512.036547,1134.02741,756.0182734,604.8146187
5/9/2024 21:00,7567.87408,3556.900818,1513.574816,1135.181112,756.787408,605.4299264
5/9/2024 22:00,7473.616369,3512.599694,1494.723274,1121.042455,747.3616369,597.8893095
5/9/2024 23:00,7189.351664,3378.995282,1437.870333,1078.40275,718.9351664,575.1481331
5/10/2024 0:00,6858.125177,3223.318833,1371.625035,1028.718777,685.8125177,548.6500142
5/10/2024 1:00,6594.346491,3099.342851,1318.869298,989.1519737,659.4346491,527.5477193
5/10/2024 2:00,6363.967308,2991.064635,1272.793462,954.5950961,636.3967308,509.1173846
5/10/2024 3:00,6208.866787,2918.16739,1241.773357,931.3300181,620.8866787,496.709343
5/10/2024 4:00,6102.42504,2868.139769,1220.485008,915.363756,610.242504,488.1940032
5/10/2024 5:00,6076.26244,2855.843347,1215.252488,911.439366,607.626244,486.1009952
5/10/2024 6:00,6196.743011,2912.469215,1239.348602,929.5114516,619.6743011,495.7394409
5/10/2024 7:00,6539.954169,3073.778459,1307.990834,980.9931253,653.9954169,523.1963335
5/10/2024 8:00,6891.514798,3239.011955,1378.30296,1033.72722,689.1514798,551.3211839
5/10/2024 9:00,7376.266207,3466.845117,1475.253241,1106.439931,737.6266207,590.1012965
5/10/2024 10:00,7651.031183,3595.984656,1530.206237,1147.654677,765.1031183,612.0824947
5/10/2024 11:00,7803.581558,3667.683332,1560.716312,1170.537234,780.3581558,624.2865247
5/10/2024 12:00,7753.892085,3644.32928,1550.778417,1163.083813,775.3892085,620.3113668
5/10/2024 13:00,7561.898563,3554.092324,1512.379713,1134.284784,756.1898563,604.951885
5/10/2024 14:00,7671.387375,3605.552066,1534.277475,1150.708106,767.1387375,613.71099
5/10/2024 15:00,7777.028468,3655.20338,1555.405694,1166.55427,777.7028468,622.1622775
5/10/2024 16:00,7784.235258,3658.590571,1556.847052,1167.635289,778.4235258,622.7388207
5/10/2024 17:00,7736.34697,3636.083076,1547.269394,1160.452046,773.634697,618.9077576
5/10/2024 18:00,7657.931233,3599.22768,1531.586247,1148.689685,765.7931233,612.6344986
5/10/2024 19:00,7479.089872,3515.17224,1495.817974,1121.863481,747.9089872,598.3271898
5/10/2024 20:00,7424.087857,3489.321293,1484.817571,1113.613178,742.4087857,593.9270285
5/10/2024 21:00,7398.012927,3477.066076,1479.602585,1109.701939,739.8012927,591.8410342
5/10/2024 22:00,7317.276834,3439.120112,1463.455367,1097.591525,731.7276834,585.3821467
5/10/2024 23:00,7083.643913,3329.312639,1416.728783,1062.546587,708.3643913,566.691513
5/11/2024 0:00,6806.016915,3198.82795,1361.203383,1020.902537,680.6016915,544.4813532
5/11/2024 1:00,6570.601881,3088.182884,1314.120376,985.5902822,657.0601881,525.6481505
5/11/2024 2:00,6356.671723,2987.63571,1271.334345,953.5007584,635.6671723,508.5337378
5/11/2024 3:00,6194.526829,2911.42761,1238.905366,929.1790243,619.4526829,495.5621463
5/11/2024 4:00,6081.244785,2858.185049,1216.248957,912.1867178,608.1244785,486.4995828
5/11/2024 5:00,6041.818909,2839.654887,1208.363782,906.2728363,604.1818909,483.3455127
5/11/2024 6:00,6081.170247,2858.150016,1216.234049,912.1755371,608.1170247,486.4936198
5/11/2024 7:00,6238.321502,2932.011106,1247.6643,935.7482253,623.8321502,499.0657202
5/11/2024 8:00,6412.036671,3013.657235,1282.407334,961.8055006,641.2036671,512.9629337
5/11/2024 9:00,6779.604836,3186.414273,1355.920967,1016.940725,677.9604836,542.3683869
5/11/2024 10:00,7002.366469,3291.11224,1400.473294,1050.35497,700.2366469,560.1893175
5/11/2024 11:00,7190.597023,3379.580601,1438.119405,1078.589554,719.0597023,575.2477619
5/11/2024 12:00,7194.517554,3381.42325,1438.903511,1079.177633,719.4517554,575.5614043
5/11/2024 13:00,7183.685939,3376.332391,1436.737188,1077.552891,718.3685939,574.6948751
5/11/2024 14:00,7197.359682,3382.75905,1439.471936,1079.603952,719.7359682,575.7887745
5/11/2024 15:00,7200.327078,3384.153727,1440.065416,1080.049062,720.0327078,576.0261663
5/11/2024 16:00,7063.457683,3319.825111,1412.691537,1059.518653,706.3457683,565.0766147
5/11/2024 17:00,7074.079814,3324.817513,1414.815963,1061.111972,707.4079814,565.9263851
5/11/2024 18:00,7039.22685,3308.436619,1407.84537,1055.884027,703.922685,563.138148
5/11/2024 19:00,6997.420061,3288.787429,1399.484012,1049.613009,699.7420061,559.7936049
5/11/2024 20:00,7093.267026,3333.835502,1418.653405,1063.990054,709.3267026,567.4613621
5/11/2024 21:00,7170.93216,3370.338115,1434.186432,1075.639824,717.093216,573.6745728
5/11/2024 22:00,7175.079863,3372.287536,1435.015973,1076.261979,717.5079863,574.006389
5/11/2024 23:00,6998.428526,3289.261407,1399.685705,1049.764279,699.8428526,559.8742821
5/12/2024 0:00,6688.348785,3143.523929,1337.669757,1003.252318,668.8348785,535.0679028
5/12/2024 1:00,6555.504473,3081.087102,1311.100895,983.3256709,655.5504473,524.4403578
5/12/2024 2:00,6328.808175,2974.539842,1265.761635,949.3212263,632.8808175,506.304654
5/12/2024 3:00,6176.588471,2902.996581,1235.317694,926.4882707,617.6588471,494.1270777
5/12/2024 4:00,6064.548163,2850.337637,1212.909633,909.6822245,606.4548163,485.1638531
5/12/2024 5:00,5999.940727,2819.972142,1199.988145,899.991109,599.9940727,479.9952581
5/12/2024 6:00,6020.509449,2829.639441,1204.10189,903.0764174,602.0509449,481.6407559
5/12/2024 7:00,6133.320451,2882.660612,1226.66409,919.9980677,613.3320451,490.6656361
5/12/2024 8:00,6208.392278,2917.944371,1241.678456,931.2588417,620.8392278,496.6713822
5/12/2024 9:00,6421.93195,3018.308016,1284.38639,963.2897925,642.193195,513.754556
5/12/2024 10:00,6588.83678,3096.753287,1317.767356,988.325517,658.883678,527.1069424
5/12/2024 11:00,6765.721118,3179.888925,1353.144224,1014.858168,676.5721118,541.2576894
5/12/2024 12:00,6752.489907,3173.670257,1350.497981,1012.873486,675.2489907,540.1991926
5/12/2024 13:00,6783.840304,3188.404943,1356.768061,1017.576046,678.3840304,542.7072243
5/12/2024 14:00,6849.683035,3219.351026,1369.936607,1027.452455,684.9683035,547.9746428
5/12/2024 15:00,6874.967619,3231.234781,1374.993524,1031.245143,687.4967619,549.9974095
5/12/2024 16:00,6824.982041,3207.741559,1364.996408,1023.747306,682.4982041,545.9985633
5/12/2024 17:00,6824.119302,3207.336072,1364.82386,1023.617895,682.4119302,545.9295441
5/12/2024 18:00,6779.497658,3186.363899,1355.899532,1016.924649,677.9497658,542.3598126
5/12/2024 19:00,6824.674911,3207.597208,1364.934982,1023.701237,682.4674911,545.9739929
5/12/2024 20:00,6992.154835,3286.312772,1398.430967,1048.823225,699.2154835,559.3723868
5/12/2024 21:00,7114.962718,3344.032477,1422.992544,1067.244408,711.4962718,569.1970174
5/12/2024 22:00,7130.974651,3351.558086,1426.19493,1069.646198,713.0974651,570.4779721
5/12/2024 23:00,6934.09396,3259.024161,1386.818792,1040.114094,693.409396,554.7275168
5/13/2024 0:00,6599.170757,3101.610256,1319.834151,989.8756135,659.9170757,527.9336605
5/13/2024 0:00,6599.170757,3101.610256,1319.834151,989.8756135,659.9170757,527.9336605
5/13/2024 1:00,6403.676311,3009.727866,1280.735262,960.5514466,640.3676311,512.2941049
5/13/2024 1:00,6403.676311,3009.727866,1280.735262,960.5514466,640.3676311,512.2941049
5/13/2024 2:00,6189.414206,2909.024677,1237.882841,928.4121309,618.9414206,495.1531365
5/13/2024 2:00,6189.414206,2909.024677,1237.882841,928.4121309,618.9414206,495.1531365
5/13/2024 3:00,6057.389037,2846.972847,1211.477807,908.6083556,605.7389037,484.591123
5/13/2024 3:00,6057.389037,2846.972847,1211.477807,908.6083556,605.7389037,484.591123
5/13/2024 4:00,5951.301871,2797.111879,1190.260374,892.6952806,595.1301871,476.1041496
5/13/2024 4:00,5951.301871,2797.111879,1190.260374,892.6952806,595.1301871,476.1041496
5/13/2024 5:00,5949.81185,2796.411569,1189.96237,892.4717774,594.981185,475.984948
5/13/2024 5:00,5949.81185,2796.411569,1189.96237,892.4717774,594.981185,475.984948
5/13/2024 6:00,6086.746243,2860.770734,1217.349249,913.0119365,608.6746243,486.9396995
5/13/2024 6:00,6086.746243,2860.770734,1217.349249,913.0119365,608.6746243,486.9396995
5/13/2024 7:00,6421.215753,3017.971404,1284.243151,963.182363,642.1215753,513.6972603
5/13/2024 7:00,6421.215753,3017.971404,1284.243151,963.182363,642.1215753,513.6972603
5/13/2024 8:00,6800.488017,3196.229368,1360.097603,1020.073203,680.0488017,544.0390413
5/13/2024 8:00,6800.488017,3196.229368,1360.097603,1020.073203,680.0488017,544.0390413
5/13/2024 9:00,7293.877522,3428.122435,1458.775504,1094.081628,729.3877522,583.5102018
