Line,bus0,bus1,x,r,s_nom,s_nom_extendable,length,carrier,capital_cost
293,45,62,0.001,0.001,2566.899296,TRUE,52.18120034,AC,100
294,46,87,0.001,0.001,495.366531,TRUE,39.15655025,AC,100
295,48,75,0.001,0.001,1711.266198,TRUE,25.00241413,AC,100
296,49,93,0.001,0.001,3422.532396,TRUE,39.99449414,AC,100
297,49,98,0.001,0.001,2724.51592,TRUE,19.63372996,AC,100
298,5,60,0.001,0.001,1711.266198,TRUE,41.8585494,AC,100
299,51,64,0.001,0.001,855.6330989,TRUE,69.07378405,AC,100
3,0,51,0.001,0.001,855.6330989,TRUE,80.1800446,AC,100
30,105,30,0.001,0.001,4413.265458,TRUE,40.18432315,AC,100
300,51,84,0.001,0.001,495.366531,TRUE,79.99978423,AC,100
301,56,9,0.001,0.001,1711.266198,TRUE,41.54173062,AC,100
302,57,59,0.001,0.001,4188.098853,TRUE,29.36436104,AC,100
303,58,83,0.001,0.001,247.6832655,TRUE,82.57446261,AC,100
304,58,86,0.001,0.001,2521.865975,TRUE,23.07989899,AC,100
305,59,75,0.001,0.001,1282.790601,TRUE,67.84089679,AC,100
306,60,63,0.001,0.001,1711.266198,TRUE,95.6651541,AC,100
307,61,83,0.001,0.001,1711.266198,TRUE,37.21722741,AC,100
308,62,84,0.001,0.001,3422.532396,TRUE,83.42764351,AC,100
309,63,8,0.001,0.001,3422.532396,TRUE,109.8177702,AC,100
31,106,23,0.001,0.001,495.366531,TRUE,49.95643809,AC,100
310,64,80,0.001,0.001,855.6330989,TRUE,39.97293047,AC,100
311,67,89,0.001,0.001,2994.715846,TRUE,41.7905276,AC,100
312,68,88,0.001,0.001,5133.798594,TRUE,16.06808268,AC,100
313,69,7,0.001,0.001,1981.466124,TRUE,49.43808938,AC,100
314,69,90,0.001,0.001,990.7330619,TRUE,66.28973976,AC,100
315,70,78,0.001,0.001,495.366531,TRUE,47.69781339,AC,100
316,71,96,0.001,0.001,1711.266198,TRUE,51.06172687,AC,100
317,74,8,0.001,0.001,2566.899297,TRUE,29.5477608,AC,100
318,75,98,0.001,0.001,1958.949464,TRUE,30.56861103,AC,100
319,78,8,0.001,0.001,3197.365791,TRUE,38.22243657,AC,100
32,106,63,0.001,0.001,1283.45081,TRUE,80.71587075,AC,100
320,83,86,0.001,0.001,1283.449648,TRUE,100.6274882,AC,100
321,83,94,0.001,0.001,1283.449648,TRUE,51.45176937,AC,100
322,84,87,0.001,0.001,3422.532396,TRUE,89.71768192,AC,100
